/media/chega/Nuevo vol/PFC1/multimodal_emotion_recognition/data/speech/Session1/Female/Ses01M_script03_2_F027_220.25_222.7.wav;YOU ALWAYS HAD A WEAK HEAD.
/media/chega/Nuevo vol/PFC1/multimodal_emotion_recognition/data/speech/Session1/Female/Ses01M_script03_2_F028_230.58_236.68.wav;ON THE CONTRARY, A CHILD TWO COULD GET VIOLENTLY DRUNK ON ONLY ONE GLASS OF BRANDY.
/media/chega/Nuevo vol/PFC1/multimodal_emotion_recognition/data/speech/Session1/Female/Ses01M_script03_2_F029_243.27_245.2725.wav;SHUT UP.
/media/chega/Nuevo vol/PFC1/multimodal_emotion_recognition/data/speech/Session1/Female/Ses01M_script03_2_F030_248.08_251.59.wav;NOT VERY FUNNY DARLING.  WHY DON'T YOU HAVE SOME MORE BRANDY?
/media/chega/Nuevo vol/PFC1/multimodal_emotion_recognition/data/speech/Session1/Female/Ses01M_script03_2_F031_258.3_259.52.wav;WHY?
/media/chega/Nuevo vol/PFC1/multimodal_emotion_recognition/data/speech/Session1/Female/Ses01M_script03_2_F033_266.24_268.77.wav;THEY ARE AWAY IN TUNIS.
/media/chega/Nuevo vol/PFC1/multimodal_emotion_recognition/data/speech/Session1/Female/Ses01M_script03_2_F034_272.51_275.34.wav;TURN IT ON AGAIN, PLEASE.
/media/chega/Nuevo vol/PFC1/multimodal_emotion_recognition/data/speech/Session1/Female/Ses01M_script03_2_F035_277.35_282.36.wav;VERY WELL IF YOU INSIST ON BEING BOORISH AND IDIOTIC.
/media/chega/Nuevo vol/PFC1/multimodal_emotion_recognition/data/speech/Session1/Female/Ses01M_script03_2_F036_284.39_286.05.wav;I WON'T.
/media/chega/Nuevo vol/PFC1/multimodal_emotion_recognition/data/speech/Session1/Female/Ses01M_script03_2_F037_290.75_293.34.wav;STOP IT. NO. GO AWAY.
/media/chega/Nuevo vol/PFC1/multimodal_emotion_recognition/data/speech/Session1/Female/Ses01M_script03_2_F038_293.36_298.53.wav;LISTEN OH I'M SICK AND TIRED OF LISTENING TO YOU, YOU DAMN SADISTIC BULLY.
/media/chega/Nuevo vol/PFC1/multimodal_emotion_recognition/data/speech/Session1/Female/Ses01M_script03_2_F039_299.63_309.01.wav;OH YOU'RE CRUEL YOU'RE...YOU'RE...I HATE YOU, I HATE YOU. GO AWAY. YOU'RE CONCEITED. YOU'RE OVERBEARING. YOU'RE UTTERLY IMPOSSIBLE.
/media/chega/Nuevo vol/PFC1/multimodal_emotion_recognition/data/speech/Session1/Female/Ses01M_script03_2_F040_311.8125_316.71.wav;THIS IS THE END DO YOU HEAR ME?  FINALLY AND FOREVER.
